time,headline,indico_score
2014-06-26T01:18:14Z,What crackdown? China bitcoin future 'bright': BTC China CEO,0.40447206873880664
2014-06-28T22:41:40Z,California Governor Signs Bill to Bring Bitcoin and Other Currency Into Fold,0.7722081008757229
2014-06-30T17:47:09Z,"SecondMarket, Pantera Outbid in Bitcoin Auction",0.5397175350460212
2014-06-30T18:59:38Z,"After Bitcoin Auction, Winning Bidders Remain Elusive",0.577373813430127
2014-07-01T11:56:28Z,"One Winner in U.S. Marshals Bitcoin Sale, Identity Not Known",0.614886800793024
2014-07-01T16:49:55Z,Bitcoin Auction Had One Winner: U.S. Marshals Service,0.8069333555823459
2014-07-02T08:49:45Z,Venture Capitalist Draper Wins U.S. Bitcoin Auction,0.484436131120194
2014-07-02T09:31:59Z,"Winner of Bitcoin Auction, Tim Draper, Plans to Expand Currency's Use ",0.8475366058929793
2014-07-03T07:33:00Z,Daily Report: Winner of Bitcoin Auction Seeks to Increase Currency's Use in Emerging Markets,0.6485741814779338
2014-07-03T14:19:19Z,Bitcoin Pioneer Calls for Regulatory Guidance From EU,0.4370697089745947
2014-07-04T08:54:14Z,EU Executive to Look at Regulating Bitcoin Currency,0.4559976890458781
2014-07-07T09:19:38Z,French Police Dismantle Illegal Bitcoin Exchange,0.39125339791070596
2014-07-16T16:58:33Z,U.S. Gold Dealer Launches First Digital Currency Backed by Bullion,0.6856983378297441
2014-07-16T18:26:13Z,Bitcoin 'Mining Pool' Promises to Stay Small,0.4081522333396197
2014-07-17T10:28:30Z,New York Proposes Regulations for Bitcoin,0.5332311183479295
2014-07-17T15:01:19Z,New York Proposes First State Regulations for Bitcoin,0.5314421432280523
2014-07-17T15:18:42Z,Bitcoin Regulation in New York,0.5181535849267744
2014-07-18T15:34:50Z,Dell Begins Accepting Bitcoin,0.6500975256754389
2014-07-28T07:02:37Z,Bitcoin Catches On in Tech-Savvy Romania,0.6236005998701508
2014-07-29T13:55:02Z,Proposed Rules Expose Rifts Among Bitcoin Enthusiasts,0.6663667230830168
2014-07-30T18:48:03Z,Wikipedia Begins Taking Donations in Bitcoin,0.49909188870952587
2014-08-06T09:17:51Z,Bitcoin Foundation Seeks More Time to Address Virtual Currency Rules,0.5989397001272683
2014-08-11T11:47:05Z,U.S. Watchdog Calls Bitcoin 'Wild West' of Finance,0.605580925960799
2014-08-11T12:12:19Z,US Agency Warns Consumers About Bitcoin Risks,0.39432554895924377
2014-08-13T16:56:25Z,Exclusive: Overstock CEO Says Bitcoin Sales to Add 4 Cents to 2014 EPS,0.4516211233903612
2014-08-14T19:31:22Z,"For Merchants, Bitcoin Shows More Pop Than Potential",0.49496586063051773
2014-08-18T15:35:17Z,"Bitcoin's Price Falls 12%, to Lowest Value Since May",0.31963979049746716
2014-08-19T15:49:32Z,Overstock to Allow International Customers to Pay in Bitcoin,0.312358491280583
2014-08-19T18:00:00Z,Owner of Winn-Dixie and Bi-Lo Supermarkets Pulls I.P.O.,0.7474925228168641
2014-08-19T18:33:43Z,Accused Bitcoin Exchanger Loses Bid to Narrow Criminal Charges,0.43438005223240095
2014-08-20T15:05:32Z,"Chain, a Bitcoin Start-Up, Raises $9.5 Million Led by Khosla Ventures",0.5547984121712872
2014-08-21T14:29:40Z,More Comments Invited for Proposed Bitcoin Rules,0.6311870538110527
2014-08-25T20:14:38Z,On To-Do List: Deposit Cash in Bitcoin A.T.M.,0.4115636043147016
2014-08-28T01:07:07Z,Bitcoin Shows Staying Power as Online Merchants Chase Digital Sparkle,0.5428447370455128
2014-08-29T00:02:27Z,Ecuador Heralds Digital Currency Plans,0.570295356359803
2014-08-29T18:18:35Z,Exclusive-Bitcoin Promoter to Plead Guilty to Unlicensed Money Transmission,0.4487944675945789
2014-08-29T18:18:49Z,Exclusive: Bitcoin Promoter to Plead Guilty to Unlicensed Money Transmission,0.44846363491386215
