time,headline,alchemy_score
2014-07-17T10:28:30Z,New York Proposes Regulations for Bitcoin,0.0
2014-07-17T15:01:19Z,New York Proposes First State Regulations for Bitcoin,0.0
2014-07-17T15:18:42Z,Bitcoin Regulation in New York,-0.257878
2014-07-18T15:34:50Z,Dell Begins Accepting Bitcoin,0.0
2014-07-28T07:02:37Z,Bitcoin Catches On in Tech-Savvy Romania,0.661802
2014-07-29T13:55:02Z,Proposed Rules Expose Rifts Among Bitcoin Enthusiasts,-0.646521
2014-07-30T18:48:03Z,Wikipedia Begins Taking Donations in Bitcoin,-0.288113
2014-08-06T09:17:51Z,Bitcoin Foundation Seeks More Time to Address Virtual Currency Rules,-0.379453
2014-08-11T11:47:05Z,U.S. Watchdog Calls Bitcoin 'Wild West' of Finance,0.0
2014-08-11T12:12:19Z,US Agency Warns Consumers About Bitcoin Risks,0.0
2014-08-13T16:56:25Z,Exclusive: Overstock CEO Says Bitcoin Sales to Add 4 Cents to 2014 EPS,0.356903
2014-08-14T19:31:22Z,"For Merchants, Bitcoin Shows More Pop Than Potential",-0.332338
2014-08-18T15:35:17Z,"Bitcoin's Price Falls 12%, to Lowest Value Since May",-0.758245
2014-08-19T15:49:32Z,Overstock to Allow International Customers to Pay in Bitcoin,0.0
2014-08-19T18:00:00Z,Owner of Winn-Dixie and Bi-Lo Supermarkets Pulls I.P.O.,0.0
2014-08-19T18:33:43Z,Accused Bitcoin Exchanger Loses Bid to Narrow Criminal Charges,-0.827093
2014-08-20T15:05:32Z,"Chain, a Bitcoin Start-Up, Raises $9.5 Million Led by Khosla Ventures",0.227699
2014-08-21T14:29:40Z,More Comments Invited for Proposed Bitcoin Rules,0.0
2014-08-25T20:14:38Z,On To-Do List: Deposit Cash in Bitcoin A.T.M.,0.0
2014-08-28T01:07:07Z,Bitcoin Shows Staying Power as Online Merchants Chase Digital Sparkle,0.410563
2014-08-29T00:02:27Z,Ecuador Heralds Digital Currency Plans,0.0
2014-08-29T18:18:35Z,Exclusive-Bitcoin Promoter to Plead Guilty to Unlicensed Money Transmission,-0.643597
2014-08-29T18:18:49Z,Exclusive: Bitcoin Promoter to Plead Guilty to Unlicensed Money Transmission,-0.607694
2014-08-30T16:40:50Z,Top Bitcoin Proponent to Plead Guilty to Federal Charge,-0.634822
2014-09-01T00:00:00Z,"Hal Finney, Cryptographer and Bitcoin Pioneer, Dies at 58",0.0
2014-09-04T02:17:12Z,2 Bitcoin Operators Plead Guilty in Silk Road Case,-0.531794
2014-09-04T17:13:16Z,Bitcoin Promoter Pleads Guilty to Unlicensed Use of Currency,-0.491914
2014-09-04T19:41:39Z,"Charles Shrem, Bitcoin Supporter, Pleads Guilty in Court",-0.375561
2014-09-08T16:40:57Z,"Braintree, Popular Payments Processor, to Accept Bitcoin",0.251369
2014-09-10T18:02:24Z,Coinbase Extends Bitcoin Access to International Customers,0.0
2014-09-11T09:16:33Z,"Bank of England Sees Bitcoin Fraud Risk, Deflation Danger",-0.697322
2014-09-12T08:48:17Z,Bitcoin Gets Boost as U.S. Watchdog Approves First Swap,0.714773
2014-09-15T06:33:28Z,Coroner: Bitcoin Exchange CEO Committed Suicide,-0.349404
2014-09-19T13:01:44Z,U.S. Judge Awards $40.7 Million in SEC Case Over Bitcoin Ponzi Scheme,-0.526127
2014-09-23T10:43:28Z,U.S. Court Halts Bitcoin Mining Operation Butterfly Labs: FTC,0.0
2014-09-24T09:16:52Z,Federal Government Sues Kansas Bitcoin Business,-0.233568
2014-10-03T00:00:00Z,Financial Wild West,0.224398
2014-10-03T10:58:32Z,Bitcoin Operator Allowed to Resume Some Business,0.310831
2014-10-05T16:38:48Z,Price of Bitcoin Tumbles,-0.699961
2014-10-06T23:00:21Z,Blockchain Is Latest Bitcoin Start-Up to Lure Big Investment,0.34755
2014-10-13T10:43:08Z,Senate Adviser Jumps to Bitcoin Start-Up Coinbase,-0.29221
